Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)

ABHD12	chr20	25390835	chr20	25273163	25274129	0.955045	MXI1,(0.979020979020979),MYCN,(0.965034965034965),ESR1,(0.949050949050949),NFE2,(0.943056943056943),TFEB,(0.942057942057942),PGR,(0.88011988011988),
ABHD2	chr15	89088455	chr15	89101520	89102508	0.984016	TCF7L2,(0.987012987012987),SMARCC1,(0.983016983016983),JUN,(0.982017982017982),NR4A3,(0.977022977022977),BACH1,(0.972027972027972),TEAD1,(0.971028971028971),RXRA,(0.964035964035964),FOSL2,(0.96003996003996),JUNB,(0.959040959040959),NR1I3,(0.958041958041958),PPARD,(0.947052947052947),NR1I2,(0.945054945054945),MTF1,(0.94005994005994),RORC,(0.923076923076923),FOSB,(0.922077922077922),NR2F6,(0.905094905094905),NR2C1,(0.902097902097902),JDP2,(0.887112887112887),
ACKR3	chr2	236569824	chr2	236853219	236854190	0.996004	NR4A1,(1),RARA,(1),RORC,(1),CREB3L2,(0.999000999000999),RORA,(0.999000999000999),TCF7L2,(0.999000999000999),CREB3L1,(0.998001998001998),NR4A3,(0.998001998001998),NR2C1,(0.998001998001998),ESRRG,(0.998001998001998),NR4A2,(0.996003996003996),ATOH1,(0.994005994005994),ESRRA,(0.993006993006993),NR1I3,(0.975024975024975),RORB,(0.965034965034965),MAF,(0.944055944055944),NR2F1,(0.921078921078921),SNAI2,(0.9000999000999),
ACOT11	chr1	54548227	chr1	54391369	54392324	0.962038	ZKSCAN3,(0.997002997002997),NR4A2,(0.997002997002997),TEAD1,(0.997002997002997),ATOH1,(0.995004995004995),ZKSCAN4,(0.971028971028971),NR1H2,(0.961038961038961),TGIF2,(0.947052947052947),MYOD1,(0.887112887112887),
ACOT11	chr1	54548227	chr1	54574948	54575892	0.988012	ZNF219,(1),NR4A2,(0.999000999000999),RARA,(0.992007992007992),KLF3,(0.985014985014985),NR1I3,(0.979020979020979),PPARD,(0.958041958041958),NR1I2,(0.825174825174825),
ACSL1	chr4	184826114	chr4	184817550	184818412	0.985015	RARA,(0.995004995004995),TCF7L2,(0.994005994005994),FOSB,(0.989010989010989),SMARCC1,(0.984015984015984),PPARD,(0.967032967032967),FOSL1,(0.95004995004995),JUNB,(0.945054945054945),
ACSL1	chr4	184826114	chr4	185133980	185134950	0.979021	NR2F6,(0.997002997002997),RORA,(0.977022977022977),NR2C1,(0.977022977022977),MEIS1,(0.934065934065934),NR4A2,(0.918081918081918),NR4A3,(0.879120879120879),RXRG,(0.829170829170829),RORC,(0.808191808191808),
AGO2	chr8	140635633	chr8	140446298	140447265	0.965035	ESRRG,(0.983016983016983),ESRRA,(0.917082917082917),TFEB,(0.911088911088911),ESRRB,(0.907092907092907),MITF,(0.849150849150849),NR5A2,(0.841158841158841),
AKAP1	chr17	57085245	chr17	56911982	56912899	0.98002	OSR1,(1),RARA,(0.999000999000999),NR4A2,(0.999000999000999),NR4A1,(0.998001998001998),ESRRG,(0.998001998001998),HNF4G,(0.995004995004995),NR4A3,(0.988011988011988),HNF4A,(0.972027972027972),NR2F2,(0.97002997002997),GLIS1,(0.957042957042957),NR6A1,(0.957042957042957),ESR1,(0.933066933066933),GLI1,(0.925074925074925),RORB,(0.915084915084915),
AKAP1	chr17	57085245	chr17	57096463	57097267	0.98002	RXRA,(0.986013986013986),ESR2,(0.979020979020979),NR4A3,(0.963036963036963),NR4A2,(0.951048951048951),NR3C1,(0.946053946053946),PPARG,(0.921078921078921),RORA,(0.904095904095904),NR2F6,(0.864135864135864),ESRRA,(0.839160839160839),
AMOT	chrX	112840831	chrX	112840298	112841109	0.997003	TFCP2,(0.982017982017982),
ANKH	chr5	14871778	chr5	14824328	14825219	0.975025	TCF7L2,(0.978021978021978),HNF4G,(0.972027972027972),HNF4A,(0.971028971028971),RARA,(0.969030969030969),NR4A3,(0.959040959040959),NR2F2,(0.957042957042957),MEIS1,(0.811188811188811),
ANKRD28	chr3	15859814	chr3	15645770	15646673	0.954046	NR4A2,(0.977022977022977),ATOH1,(0.957042957042957),PPARG,(0.917082917082917),JDP2,(0.819180819180819),
ANKRD9	chr14	102509776	chr14	102442171	102443252	0.984016	PPARD,(1),NR4A1,(1),RXRA,(0.999000999000999),MEIS1,(0.996003996003996),NR4A3,(0.993006993006993),NR2E1,(0.987012987012987),ESRRA,(0.977022977022977),RXRG,(0.976023976023976),NR2C1,(0.97002997002997),ESRRG,(0.968031968031968),ZNF219,(0.962037962037962),NR2F1,(0.961038961038961),NR4A2,(0.94005994005994),HNF4G,(0.92007992007992),NR5A1,(0.886113886113886),
ARHGAP12	chr10	31928876	chr10	31774703	31775597	0.964036	ZIC1,(0.971028971028971),HLTF,(0.884115884115884),GLI1,(0.865134865134865),
ARHGEF6	chrX	136780932	chrX	136752487	136753424	0.981019	MAF,(1),NR4A3,(1),NR4A2,(1),TEAD1,(1),ATOH1,(1),TFEB,(0.998001998001998),KLF3,(0.998001998001998),ZIC1,(0.998001998001998),MTF1,(0.997002997002997),MITF,(0.996003996003996),SNAI2,(0.949050949050949),
ARRDC2	chr19	18001123	chr19	18396088	18397064	0.961039	ATOH1,(0.979020979020979),TFCP2L1,(0.963036963036963),ESRRG,(0.942057942057942),HEY1,(0.94005994005994),RORC,(0.937062937062937),MXI1,(0.936063936063936),NR5A2,(0.926073926073926),NPAS2,(0.917082917082917),RORB,(0.915084915084915),TFEB,(0.91008991008991),PPARD,(0.898101898101898),NR1I2,(0.884115884115884),NR4A3,(0.86013986013986),RORA,(0.842157842157842),ESRRB,(0.835164835164835),
